,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,iBID,tBID,prcBID,maxProfit,minProfit,lastProfit,imax,imin,hname,profit
3835,20250618,299660,0.019,0.107,-0.015,0.029,58,5,3958796,2103233,1792859,8595,19280,6060,0.023,0.026,-0.068,0,6,446566,247164,149921,1066,935,67,100430,6010,0.0262862,-0.033614,0.00132779,546,402,셀리드,0.00132779
3833,20250618,201490,0.036,0.036,-0.125,-0.101,0,540,2854502,27677,19224,25,2,3955,0.047,0.129,0.006,12,49,2605175,1520706,1084469,4571,5213,426,130400,4280,0.0131869,-0.0919533,-0.0557383,160,112,미투온,-0.048
3831,20250618,083660,-0.022,0.062,-0.043,0.041,292,14,754374,309057,434512,3134,1210,1437,0.14,0.232,0.058,3,45,2653807,1511336,1142471,3208,2813,88,101500,1673,0.114557,-0.00737956,0.0655433,290,10,CSA 코스믹,0.112322
3829,20250618,065770,0.009,0.03,-0.036,-0.025,0,11,86772,49483,31181,1219,702,1041,0.008,0.2,0.006,37,0,1098001,620952,469432,2226,3911,95,101830,1170,0.0193675,-0.0755043,-0.0635385,1,601,CS,-0.048
3827,20250618,043200,0,0.049,-0.078,-0.063,61,559,5661754,3431385,2150635,10232,9971,1537,0.06,0.165,0.05,7,3,5783523,2854192,2865737,7284,8629,72,100700,1722,0.00729152,-0.0519419,-0.0385854,0,544,파루,-0.048
3826,20250618,032820,0.038,0.167,0.028,0.065,237,7,171387153,88101670,79780109,138116,163311,3600,0.016,0.079,0.011,15,0,20469139,10524978,9944161,15301,18969,108,102500,3795,0.0217154,-0.0217628,0.0124928,582,45,우리기술,0.0124928
3825,20250618,000440,-0.08,0.032,-0.105,-0.067,316,4,1236169,651149,561538,11367,10998,20350,0.079,0.081,0.017,0,37,108529,69515,39014,1156,847,320,121100,21550,0.0560046,-0.0368028,0.0467239,897,276,중앙에너비스,0.0467239
3823,20250617,389030,0,0.055,-0.028,-0.026,358,5,391276,234188,149415,606,571,2225,0.009,0.009,-0.049,0,41,113307,73535,39772,148,97,130,103600,2200,0.0593636,-0.0247273,0.0298182,240,120,지니너스,0.0298182
3822,20250617,347860,0.064,0.299,0.059,0.299,411,1,14903332,7469620,7239697,19244,20643,2540,0.167,0.242,0.126,9,1,8222740,4580686,3430417,13165,11760,224,112300,3045,0.0768177,-0.0184204,-0.00856814,114,35,알체라,-0.00856814
3820,20250617,124500,0.041,0.264,0.016,0.194,108,11,2076450,966690,1025287,15713,11557,26500,-0.017,0.03,-0.028,14,2,183471,110117,73354,997,907,572,141700,26750,0.0765047,-0.0468598,0.0185607,107,1,아이티센글로벌,0.0185607
3818,20250617,105840,0.02,0.031,-0.033,0.017,635,59,1519512,801191,677498,5903,6362,10640,0.023,0.046,-0.021,6,45,311715,191535,120180,1320,889,153,104730,10870,0.00259982,-0.0838767,-0.0498381,22,323,우진,-0.048
3815,20250617,017510,0,0.04,-0.019,0.038,305,3,747785,331072,369541,2041,2967,7850,0.011,0.062,-0,20,2,835597,394397,441200,1883,2065,138,104000,8160,0.0151569,-0.0301863,-0.0130294,32,348,세명전기,-0.0130294
