,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,iBID,tBID,prcBID,gcut,lcut,iASK0,tASK0,prcASK0,profit0,iASK1,tASK1,prcASK1,profit1,iASK2,tASK2,prcASK2,profit2,hname,profit
4008,20250701,192410,0,0.3,0,0.184,27,0,8171748,4598197,3407405,18173,19004,2150,-0.016,-0.014,-0.088,0,42,308978,199398,109580,618,330,87,101430,2055,0.081,0.05,699,153000,2000,-0.02676,699,153000,2000,-0.02676,404,125300,2190,0.06569,오늘이엔엠,-0.02676
4007,20250701,184230,0,0,-0.025,-0.015,0,23,270882,130722,137970,218,392,587,0.02,0.077,-0.003,23,7,252719,97016,155703,172,208,99,102030,610,0.08,0.05,699,153000,601,-0.01475,699,153000,601,-0.01475,699,153000,601,-0.01475,SGA솔루션즈,-0.01475
4006,20250701,146060,-0.009,0.03,-0.01,0.028,502,0,51547,26959,24069,158,230,1381,0,0,-0.062,0,43,16220,16143,77,113,8,216,111900,1371,0.066,0.05,699,153000,1372,0.00073,699,153000,1372,0.00073,699,153000,1372,0.00073,율촌,0.00073
4005,20250701,090150,-0.001,0.004,-0.013,-0.001,26,191,70838,45408,24206,78,164,758,0.011,0.062,0,1,2,25355,11555,13800,42,57,3,93230,785,0.062,0.05,699,153000,774,-0.01401,699,153000,774,-0.01401,699,153000,774,-0.01401,아이윈,-0.01401
4004,20250701,082270,-0.002,0.02,-0.041,-0.038,365,696,234430,132785,95693,3161,4042,61500,-0.018,-0.016,-0.073,0,37,136263,72274,63989,1332,1534,74,100800,59400,0.061,0.05,699,153000,61200,0.0303,699,153000,61200,0.0303,699,153000,61200,0.0303,젬백스,0.0303
4003,20250701,069540,0,0.228,-0.034,0.154,685,7,5580928,2586399,2883287,7845,9627,1230,0.101,0.178,0.076,5,50,2682443,1559297,1009661,3295,2632,34,94800,1395,0.095,0.057,699,153000,1426,0.02222,699,153000,1426,0.02222,699,153000,1426,0.02222,빛과전자,0.02222
4002,20250701,043100,-0.001,0.053,-0.005,0.047,757,0,81957,21474,59659,256,328,4035,0.014,0.022,-0.051,16,13,12976,6371,6605,87,59,69,100530,4015,0.077,0.05,699,153000,3995,-0.00498,699,153000,3995,-0.00498,699,153000,3995,-0.00498,알파녹스,-0.00498
4001,20250701,000215,0.014,0.023,-0.014,-0.002,89,53,2605,1873,706,170,66,24300,0.033,0.091,0.029,19,6,5477,1824,3653,107,138,18,94000,25850,0.06,0.05,699,153000,25150,-0.02708,699,153000,25150,-0.02708,699,153000,25150,-0.02708,DL우,-0.02708
4000,20250630,950210,0.008,0.146,0.001,0.066,119,0,296634,148579,141206,1667,1981,11870,0.155,0.255,0.152,34,18,600910,298863,280525,3678,3707,19,94030,14420,0.062,0.05,75,100830,15320,0.06241,699,153000,14700,0.01942,35,94830,15150,0.05062,프레스티지바이오파마,0.06241
3999,20250630,481070,0,0,-0.114,-0.114,0,760,65338,40493,21400,782,603,20550,0.061,0.1,0.019,9,31,24602,15426,9176,244,225,608,143500,21900,0.079,0.05,699,153000,21750,-0.00685,699,153000,21750,-0.00685,699,153000,21750,-0.00685,에이유브랜즈,-0.00685
3998,20250630,476040,0.016,0.069,-0.039,0.011,11,161,2330689,1296807,975792,25004,22410,35900,-0,0.086,-0,43,0,908164,398666,509498,8208,10549,21,94130,37900,0.086,0.052,699,153000,37450,-0.01187,699,153000,37450,-0.01187,699,153000,37450,-0.01187,오가노이드사이언스,-0.01187
3997,20250630,445680,-0.001,0.028,-0.018,0.001,539,71,173553,100457,72231,2721,2585,38950,-0.018,-0.012,-0.076,10,9,40983,29215,10562,468,256,6,93400,38050,0.069,0.05,699,153000,38750,0.0184,699,153000,38750,0.0184,699,153000,38750,0.0184,큐리옥스바이오시스템,0.0184
3996,20250630,396300,0.003,0.014,-0.036,-0.025,10,107,1472292,846955,542815,2466,2128,3475,0.013,0.073,0.003,6,37,680730,349991,330739,1283,1276,40,95100,3620,0.07,0.05,699,153000,3540,-0.0221,699,153000,3540,-0.0221,699,153000,3540,-0.0221,세아메카닉스,-0.0221
3995,20250630,334970,0.02,0.047,-0.003,0.021,119,3,207998,103107,102869,1225,1388,3400,0.031,0.132,0.029,34,0,515714,240317,255120,1234,1499,25,94330,3720,0.1,0.06,699,153000,3650,-0.01882,699,153000,3650,-0.01882,699,153000,3650,-0.01882,프레스티지바이오로직,-0.01882
3994,20250630,321820,0.031,0.052,-0.025,-0.01,281,29,497570,278640,213643,3999,3249,10470,-0.134,-0.131,-0.217,0,4,327501,155809,162390,1537,980,145,104330,8730,0.11,0.066,699,153000,8400,-0.0378,699,153000,8400,-0.0378,699,153000,8400,-0.0378,아티스트컴퍼니,-0.0378
3993,20250630,321370,-0.005,-0.004,-0.108,-0.091,0,589,3527117,2083914,1346257,5837,4192,1435,0.015,0.023,-0.037,5,20,279766,171157,108609,589,313,59,100030,1437,0.062,0.05,279,115030,1528,0.06333,279,115030,1545,0.07516,278,115000,1510,0.0508,센서뷰,0.06333
3992,20250630,299900,0.013,0.027,-0.048,-0.039,3,658,1466268,843034,543375,2454,2383,1090,-0.067,-0.019,-0.078,12,1,587206,267438,319768,823,564,23,94230,1035,0.064,0.05,699,153000,1034,-0.00097,699,153000,1034,-0.00097,699,153000,1034,-0.00097,위지윅스튜디오,-0.00097
3991,20250630,293780,0.004,0.025,-0.001,-0.001,284,119,63789,34301,28408,400,422,7580,0.174,0.187,0.054,5,24,542679,353015,187308,3500,2735,109,102530,8680,0.12,0.072,699,153000,8650,-0.00346,699,153000,8650,-0.00346,699,153000,8650,-0.00346,압타바이오,-0.00346
3990,20250630,291650,0,0.272,-0.011,0.094,344,8,14051658,7502851,6344396,23376,29438,1220,0.018,0.035,-0.027,8,29,527179,378076,149103,1100,878,177,105930,1235,0.064,0.05,602,143200,1173,-0.0502,699,153000,1180,-0.04453,345,122330,1185,-0.04049,압타머사이언스,-0.0502
3989,20250630,290660,0.007,0.05,0.007,0.05,360,0,381487,2057,3897,1,4,1591,0.04,0.144,0.009,2,33,596068,301364,231818,1121,1027,5,93330,1738,0.12,0.072,699,153000,1700,-0.02186,699,153000,1700,-0.02186,140,104100,1638,-0.05754,네오펙트,-0.02186
3988,20250630,277410,0.011,0.163,-0.007,0.026,130,5,6853288,3870240,2717691,9415,9375,1385,0.01,0.072,0.006,10,0,428622,228455,200167,682,721,77,100930,1443,0.066,0.05,129,103530,1539,0.06653,130,103600,1559,0.08039,128,103500,1520,0.05336,인산가,0.06653
3987,20250630,263050,-0,0.298,-0.002,0.298,73,0,3350408,1721072,1542673,5020,6188,2140,0.091,0.194,0.026,16,25,2605742,1335605,1213583,5451,5700,40,95100,2395,0.12,0.072,405,125330,2685,0.12109,407,125430,2745,0.14614,165,105330,2255,-0.05846,유틸렉스,0.12109
3986,20250630,217270,-0.01,0.033,-0.052,-0.014,537,396,585612,284439,284770,2485,2495,8580,0.05,0.085,0.016,3,50,134528,78705,55823,578,504,61,100130,9080,0.068,0.05,699,153000,8940,-0.01542,699,153000,8940,-0.01542,699,153000,8940,-0.01542,넵튠,-0.01542
3985,20250630,200350,0.044,0.134,0.02,0.032,280,34,1677169,885837,773404,12704,12385,15280,-0.178,-0.178,-0.242,0,7,435854,273693,162161,2971,1833,154,104800,12200,0.085,0.051,699,153000,11790,-0.03361,699,153000,11790,-0.03361,606,143400,11700,-0.04098,아티스트스튜디오,-0.03361
3984,20250630,199430,0.075,0.199,-0.025,-0.006,85,673,4320104,2327360,1906023,25329,23655,9240,0.103,0.136,0.056,14,30,468880,248011,220869,2648,2694,51,95630,10170,0.076,0.05,699,153000,9870,-0.0295,699,153000,9870,-0.0295,699,153000,9870,-0.0295,케이엔알시스템,-0.0295
