,date,shcode,time,vi_time,wtime,vi_trgprice,vi_sprice,histHigh,histLow,ilocHigh,ilocLow,histClose,histDiff,histHigh10min,histLow10min,ilocHigh10min,ilocLow10min,chdegree,volume,mdvolume,msvolume,mdchecnt,mschecnt,tmcode,tmavgdiff,tm1diff,tm2diff,tm1value,tm2value,DurH30,DurL30,DurH60,DurL60,noNEWS,maxProfit,minProfit,lastProfit,imax,imin,hname,finalProfit
3212,20250703,051980,133046,133041,143258,2565,2330,2615,2415,111,3,2435,15.680,2455,2415,19,3,100.900,19350563,9568126,9653774,23563,30131,523,4.840,15.680,13.080,47226,23182,3260,2035,5280,2035,0,0.023,-0.014,0.016,749,679,중앙첨단소재,0.016
3211,20250703,066970,132727,132727,142933,56400,51200,56600,54000,118,49,54900,8.070,55200,54700,16,12,174.080,1011853,367559,639846,10823,16896,446,3.200,12.780,11.040,22743,97741,57200,47800,67900,47800,5,-0.000,-0.009,-0.002,679,758,엘앤에프,-0.002
3210,20250703,007280,132241,132234,142449,1781,1619,1790,1575,78,3,1588,5.870,1648,1575,18,3,92.540,2385273,1212965,1122507,8509,9518,72,1.340,5.980,5.870,4737,4158,1661,1429,1905,1429,0,0.001,-0.056,-0.043,649,699,한국특강,-0.048
3209,20250703,114190,132144,132139,142348,7780,7070,8100,7400,117,20,7470,12.330,7570,7400,10,20,84.570,2926446,1563011,1321894,10517,11987,523,4.810,16.150,12.330,46711,22526,7450,6110,7450,6000,0,0.058,-0.007,0.035,752,648,강원에너지,0.035
3208,20250703,461300,130516,130516,140724,24900,22600,25650,23150,81,111,23450,18.020,24050,23250,19,0,93.390,1744825,898876,839449,14111,14893,52,1.220,18.020,3.370,24403,8697,21700,15780,21700,13250,0,0.058,-0.015,0.021,701,621,아이스크림미디어,0.021
3207,20250703,450080,130415,130413,140627,53700,48750,54900,52500,100,47,52800,10.000,53400,52600,11,1,130.630,3272329,1411820,1844268,26776,36922,446,3.020,13.080,10.210,21649,94170,49450,41050,56800,41050,4,0.017,-0.004,0.017,724,614,에코프로머티,0.017
3206,20250703,002220,130212,130210,140417,3490,3170,3600,3240,86,28,3350,8.770,3435,3320,1,20,82.890,3188235,1715356,1421797,10148,10760,72,1.610,12.130,8.770,3961,10489,3080,1967,3080,1770,0,0.010,-0.123,-0.117,611,757,한일철강,-0.048
3205,20250703,007280,124438,124432,134644,1823,1657,1845,1619,119,59,1787,19.130,1790,1671,2,11,110.710,1958596,907562,1004733,6240,7824,72,1.730,18.930,7.790,3438,9686,1661,1429,1905,1429,0,-0.004,-0.161,-0.150,573,699,한국특강,-0.048
3204,20250703,091440,124200,124155,134420,2760,2505,2770,2590,120,17,2655,5.570,2660,2590,2,17,126.500,210028,89451,113153,593,847,104,1.520,5.910,5.570,1553,560,3435,2515,3800,2515,0,0.011,-0.010,0.002,703,653,한울소재과학,0.002
3203,20250703,005320,123943,123941,134155,767,697,820,735,118,29,770,16.140,803,767,17,0,56.230,31016109,19542505,10988532,25494,27899,32,0.910,30.000,16.140,14943,24435,663,489,663,409,0,0.010,-0.129,-0.127,583,753,온타이드,-0.048
