,date,shcode,time,vi_time,wtime,vi_trgprice,vi_sprice,histHigh,histLow,ilocHigh,ilocLow,histClose,histDiff,histHigh10min,histLow10min,ilocHigh10min,ilocLow10min,chdegree,volume,mdvolume,msvolume,mdchecnt,mschecnt,tmcode,tmavgdiff,tm1diff,tm2diff,tm1value,tm2value,DurH30,DurL30,DurH60,DurL60,maxProfit,minProfit,lastProfit,imax,imin,hname,finalProfit
971,20240904,023460,90029,90027,93235,590,531,628,526,60,36,550,3.580,558,535,2,17,69.660,10933780,5902711,4112090,3722,5806,111,-2.270,3.580,0.170,6325,11,2490,409,2690,409,0.007,-0.138,-0.127,65,334,CNH,-0.048
909,20240903,023460,91432,91429,94641,455,413,510,442,19,57,498,21.760,510,481,19,6,136.720,7327527,3022681,4132499,2877,4312,111,0.560,21.760,7.710,3473,11969,2490,409,2690,409,0.066,-0.012,0.066,210,129,CNH,0.064
894,20240903,063170,90022,90022,93234,7470,6790,7290,6940,60,46,7150,5.300,7160,6980,9,17,91.910,306508,141657,130196,910,738,531,5.820,30.000,23.410,19419,26720,8540,6270,8660,6270,0.112,-0.020,0.055,597,82,서울옥션,0.080
889,20240902,091440,135013,135011,142220,6690,6080,6800,6550,32,57,6750,11.020,6790,6660,1,15,138.720,121840,50158,69579,415,675,104,0.710,14.290,11.020,160544,790,9310,5860,11100,5860,0.016,-0.007,-0.007,680,760,한울소재과학,-0.007
884,20240902,460940,131641,131640,134851,15050,13680,15750,14770,7,16,15620,20.150,15750,14770,7,16,108.210,2937949,1390738,1504947,19589,22222,562,5.680,25.350,22.430,321458,272780,25050,12450,25050,12450,0.082,-0.040,0.082,670,635,피앤에스미캐닉스,0.078
864,20240902,460470,110557,110556,113804,8900,8090,9150,8480,19,36,8720,7.260,9150,8710,19,0,95.630,2272183,1132426,1082974,9156,10552,562,3.240,24.650,16.900,253155,117067,13360,7120,13360,7120,0.002,-0.044,-0.037,316,569,아이빔테크놀로지,-0.037
858,20240902,429270,104402,104356,111605,8440,7670,9130,8230,8,60,8710,13.560,9130,8500,8,2,107.020,503273,233613,250007,4024,4956,307,-1.450,13.560,2.510,4393,1926,12580,7480,12580,7480,-0.003,-0.100,-0.096,275,678,시지트로닉스,-0.048
856,20240902,200470,103716,103710,110925,3845,3495,4190,3800,2,55,4110,21.420,4190,3865,2,18,107.030,2446436,1169958,1252222,7623,12872,12,-1.570,21.710,3.450,9496,74,5360,3355,6300,3355,0.047,-0.062,-0.056,334,660,에이팩트,-0.048
842,20240902,076610,93431,93431,100639,1375,1250,1431,1210,60,16,1242,-0.640,1247,1210,4,16,77.810,333594,170583,132723,667,776,106,-1.280,1.520,1.050,50,470,1508,1218,1539,1218,0.184,-0.023,-0.003,583,433,해성옵틱스,0.080
836,20240902,227100,91430,91429,94641,568,510,655,580,50,60,615,22.020,629,607,12,20,65.400,1885583,1053494,688941,1735,4885,279,-0.130,22.020,4.380,1175,113724,1369,504,1479,504,0.065,-0.013,0.065,158,106,퀀텀온,0.061
