,date,shcode,etf,gubun,ytDiffO,ytDiffH,ytDiffL,ytDiff,ytClose,ytVolume,ytULPi,tdSDiff,tdOpen,noNEWS,30m(MAX),30m(MAXi),30m(MIN),30m(MINi),30m(CLOSE),value
8186,2024-11-13,475560,0,1,0.0785,0.244,0.0423,0.1534,47750,6514566,-1,-0.0304,46300,0,0.0743,36,-0.0335,4,0.044,0.0
8185,2024-11-13,457190,0,1,-0.0098,0.2483,-0.0586,0.1939,42800,2674273,-1,-0.0187,42000,7,0.0023,9,-0.0432,17,-0.0269,0.0
8184,2024-11-13,168490,0,1,0.0,0.2927,-0.0244,0.2927,159,39695670,528,0.1006,175,0,0.2956,10,0.0629,1,0.2956,0.09
8183,2024-11-13,068290,0,1,-0.0037,0.2462,-0.0168,0.1001,15060,2050724,-1,-0.0053,14980,3,0.0179,43,-0.0179,1,0.0013,0.0
8182,2024-11-13,019490,0,1,0.0216,0.209,0.005,0.1194,3375,2882393,-1,-0.0311,3270,0,-0.0178,37,-0.0637,12,-0.0444,0.0
8181,2024-11-13,013360,0,1,-0.0022,0.2997,-0.0141,0.2997,1752,11146890,161,0.0554,1849,0,0.1958,7,0.004,39,0.0337,0.09
8180,2024-11-13,005870,0,1,0.0085,0.1774,0.0012,0.175,9670,8017370,-1,-0.0124,9550,0,-0.0114,0,-0.0662,42,-0.0507,0.0
8179,2024-11-13,003535,0,1,0.2005,0.2005,0.1056,0.1513,9590,244877,-1,-0.0615,9000,0,-0.0615,0,-0.0615,0,-0.0615,0.0
8178,2024-11-13,003075,0,1,0.0096,0.2972,-0.0024,0.1702,19530,35658,719,-0.0655,18250,0,-0.0655,0,-0.0655,0,-0.0655,0.0
8177,2024-11-13,003070,0,1,-0.0119,0.2997,-0.0478,0.1781,10850,2718988,703,-0.0507,10300,7,-0.0313,4,-0.0783,14,-0.0728,0.0
8176,2024-11-13,002900,0,1,0.1093,0.2989,0.0744,0.2989,4280,3146510,15,0.0888,4660,2,0.0981,2,-0.0374,41,0.0234,-0.1
8175,2024-11-13,002690,0,1,0.0121,0.2998,-0.0079,0.1113,1557,1387940,421,0.0006,1558,0,0.0051,0,-0.0533,59,-0.0533,0.0
8174,2024-11-13,002410,0,1,0.2283,0.2998,0.2283,0.2998,1708,1874516,6,0.2178,2080,1,0.2793,7,0.1148,35,0.1797,0.0
8173,2024-11-13,001525,0,1,0.0,0.1125,-0.0136,0.1125,4895,323,-1,-0.0623,4590,0,-0.0623,0,-0.0623,0,-0.0623,0.0
8172,2024-11-13,001260,0,1,0.0027,0.2989,0.0027,0.2989,9690,1494548,98,0.063,10300,1,0.0836,0,-0.129,56,-0.1166,-0.1
