,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,gcut,lcut,iBID,iASK,tBID,tASK,prcBID,prcASK,profit,hname
374,2025-06-25,000157,0.021,0.036,-0.053,0.018,655,67,11382,6053,5114,1153,1184,485500,-0.008,-0.007,-0.078,0,49,1530,1020,510,256,148,0.077,0.054,1,699,93130,153000,469000,463000,-0.01279,두산2우B
373,2025-06-24,462860,-0.044,0.047,-0.096,-0.086,28,600,15542182,8931283,6268744,28359,29331,4825,0.045,0.154,0.034,20,1,10057578,4166731,5753011,14392,17812,0.1,0.07,6,699,93400,153000,5350,5200,-0.02804,더즌
372,2025-06-24,413640,-0.022,0.159,-0.027,0.157,698,2,704029,317418,368163,4184,18156,23950,-0.035,-0.019,-0.083,0,32,109602,73049,36553,1097,464,0.071,0.05,26,699,94400,153000,22950,23250,0.01307,비아이매트릭스
371,2025-06-24,377030,-0.044,-0.008,-0.1,-0.083,12,572,2781363,1686648,989173,6356,6007,6520,0.066,0.12,0.054,24,3,811138,368651,442487,1818,1917,0.063,0.05,13,485,93730,133330,7150,6790,-0.05035,비트맥스
370,2025-06-24,372800,0.001,0.067,-0.029,0.062,223,74,95512,37849,47820,484,639,7310,0.037,0.063,0.003,8,48,39539,20266,19273,154,148,0.06,0.05,40,63,95100,100230,7610,8080,0.06176,아이티아이즈
369,2025-06-24,355150,-0.0,0.034,-0.064,0.027,460,3,276052,133139,135973,1722,1566,11970,0.008,0.077,0.007,7,0,52977,20932,32045,287,363,0.07,0.05,23,699,94230,153000,12580,12510,-0.00556,코스텍시스
368,2025-06-24,348370,-0.024,-0.024,-0.055,-0.047,0,162,270366,169084,96458,3850,4539,55200,0.054,0.118,0.036,28,5,282543,98068,184475,2793,4683,0.079,0.055,32,699,94700,153000,60100,62200,0.03494,엔켐
367,2025-06-24,347860,0.0,0.053,-0.057,0.029,587,9,4736632,2296431,2314343,6677,7889,3520,0.009,0.023,-0.037,3,37,747756,510956,236800,1175,734,0.062,0.05,36,699,94900,153000,3520,3500,-0.00568,알체라
366,2025-06-24,317830,-0.004,0.049,-0.038,0.034,573,57,167782,78816,84740,1106,1314,7640,0.034,0.097,0.016,32,14,150484,62169,88315,533,759,0.08,0.056,35,699,94830,153000,8150,7980,-0.02086,에스피시스템스
365,2025-06-24,290660,0.0,0.295,0.0,0.221,35,0,8258254,4269712,3787831,13864,15980,1400,0.028,0.057,-0.041,1,29,362773,251663,111110,602,294,0.1,0.07,532,699,135700,153000,1427,1420,-0.00491,네오펙트
364,2025-06-24,267320,-0.003,0.036,-0.035,0.025,291,3,2275548,1195404,1016172,2850,3404,3845,0.138,0.234,0.135,10,0,5822658,2465906,3244903,11116,11266,0.078,0.055,195,699,110830,153000,4600,4500,-0.02174,나인테크
363,2025-06-24,33626L,-0.018,0.259,-0.079,0.02,402,6,1301289,677607,566633,15870,17589,11320,0.126,0.148,0.056,1,45,103775,63566,40209,1625,1492,0.088,0.062,37,60,94930,100100,12600,11820,-0.0619,두산퓨얼셀2우B
362,2025-06-24,232830,-0.009,0.013,-0.095,-0.019,217,20,597896,331077,259836,1421,1484,3305,-0.009,0.029,-0.033,9,31,101809,70440,31369,241,155,0.064,0.05,61,139,100130,104030,3325,3540,0.06466,아이티센피엔에스
361,2025-06-24,205500,0.039,0.299,0.029,0.299,53,0,12691296,6752131,4882121,13268,13800,4210,0.014,0.118,-0.012,40,4,5332348,2819787,2384285,9389,9333,0.1,0.07,5,699,93330,153000,4495,4585,0.02002,넥써쓰
360,2025-06-24,160190,-0.019,0.106,-0.036,0.05,575,4,1008995,513246,482974,9992,10694,36500,0.253,0.3,0.219,28,9,2017401,1160546,843445,16260,15440,0.016,0.05,105,135,102330,103830,46350,47100,0.01618,하이젠알앤엠
