,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,volTDbf,gcut,lcut,iBID,iASK,tBID,tASK,prcBID,prcASK,profit,hname
2612,2025-02-03,002630,0.009,0.093,0.003,0.022,3,178,12114365,6878171,4944671,14565,16854,1487,-0.012,0.05,-0.059,5009366,0.116,0.08,146,760,101330,153000,1565,1513,-0.03323,오리엔트바이오
2611,2025-01-31,450950,0.689,1.126,0.378,0.443,44,742,49786898,27551323,21039581,207867,184963,6640,0.062,0.137,0.021,4316454,0.114,0.08,92,760,94630,153000,7570,7430,-0.01849,아스테라시스
2610,2025-01-31,108490,-0.012,0.049,-0.03,-0.007,294,47,1495834,810159,626230,10831,14234,37600,-0.021,0.077,-0.024,1019485,0.104,0.08,311,760,113600,153000,40550,42350,0.04439,로보티즈
2609,2025-01-31,053030,0.012,0.022,-0.023,-0.017,23,716,919815,560057,320149,4214,17864,20100,0.057,0.08,-0.022,1285292,0.104,0.08,570,760,134530,153000,21750,21850,0.0046,바이넥스
2608,2025-01-31,090080,0.169,0.176,-0.032,0.01,5,576,23504718,12409230,9643717,22878,25262,1276,-0.015,0.083,-0.021,6189732,0.106,0.08,114,619,95730,141000,1384,1273,-0.0802,평화산업
2607,2025-01-31,051630,-0.001,0.007,-0.03,-0.01,20,61,142431,87203,51246,347,211,3600,0.033,0.194,0.033,1363717,0.079,0.079,594,661,135730,143100,4305,4645,0.07898,진양화학
2606,2025-01-31,010100,-0.011,0.299,-0.029,0.299,301,63,9322071,4584984,4493844,19502,16475,4860,0.086,0.13,0.019,7920712,0.109,0.08,100,352,95030,115630,5510,6120,0.11071,한국무브넥스
2605,2025-01-24,476060,0.023,0.048,-0.02,0.001,262,56,539418,293380,224212,4169,5091,13710,0.036,0.156,0.035,1085423,0.114,0.08,90,506,94530,131330,15880,14610,-0.07997,온코닉테라퓨틱스
2604,2025-01-24,113810,-0.019,0.077,-0.019,0.016,287,0,1767785,870380,836199,1584,1967,1250,0.054,0.096,-0.0,1039324,0.096,0.08,162,499,102130,131000,1372,1505,0.09694,디젠스
2603,2025-01-24,065500,-0.016,0.036,-0.049,-0.049,265,760,3437369,1819608,1455002,6185,7002,4180,0.086,0.13,0.03,3933315,0.098,0.08,145,423,101300,123200,4730,5200,0.09937,오리엔트정공
