,date,shcode,doYD,dhYD,dlYD,dCYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,volTDbf,gcut,lcut,iBID,iASK,tBID,tASK,prcBID,prcASK,profit,hname
274,2025-01-07,002410,-0.014,0.017,-0.037,-0.014,232,32,1093603,543217,408575,1179,1497,2540,0.043,0.122,0.018,2528117,0.103,0.08,116,137,95830,100900,2880,3180,0.10417,범양건영
273,2025-01-07,001470,0.002,0.028,-0.013,0.019,47,9,5109261,2441154,2438205,2362,3402,931,0.002,0.099,-0.0,7028387,0.099,0.08,142,760,101130,153000,1033,990,-0.04163,삼부토건
272,2025-01-06,411080,-0.009,-0.003,-0.023,-0.004,544,9,113713,71669,36538,571,431,6960,0.017,0.142,-0.004,1252403,0.118,0.08,65,760,93300,153000,8030,7970,-0.00747,샌즈랩
271,2025-01-06,232830,0.018,0.147,0.018,0.147,760,0,1085760,0,10531,0,24,3400,-0.029,0.091,-0.059,1160425,0.159,0.08,229,488,105500,130430,3750,3450,-0.08,시큐센
270,2025-01-06,203650,0.016,0.115,-0.001,0.04,62,2,9983312,5213203,4522556,15759,18009,4020,0.011,0.082,-0.002,3013513,0.085,0.08,292,760,112630,153000,4390,4160,-0.05239,드림시큐리티
269,2025-01-06,158430,0.026,0.299,0.015,0.299,64,1,26149148,12256919,13485790,69767,73527,7990,0.06,0.18,0.05,15679172,0.083,0.08,79,586,94000,135330,9520,8750,-0.08088,아톤
268,2025-01-06,115500,-0.007,0.033,-0.05,-0.033,47,204,2967660,1643842,1186214,13207,13702,14080,0.023,0.096,0.011,1863328,0.084,0.08,78,760,93930,153000,15580,14640,-0.06033,케이씨에스
267,2025-01-06,097800,0.0,0.288,-0.006,0.211,462,3,17165221,8924325,7965336,21356,28839,757,0.017,0.088,0.004,2439500,0.084,0.08,177,760,102900,153000,832,797,-0.04207,윈팩
266,2025-01-06,038880,0.046,0.296,0.046,0.296,10,0,12390076,6655889,4856827,3591,2582,254,0.039,0.169,0.004,16332575,0.092,0.08,121,760,100100,153000,300,290,-0.03333,아이에이
265,2025-01-06,032980,0.012,0.033,-0.298,-0.298,6,102,19719039,9538688,9686051,3602,8735,362,0.019,0.041,-0.058,2629378,0.106,0.08,560,760,134030,153000,381,384,0.00787,바이온
264,2025-01-03,336570,0.025,0.083,0.015,0.067,462,0,985959,406052,539424,2579,2676,4690,0.009,0.122,0.006,1176752,0.114,0.08,683,760,144200,153000,5310,5330,0.00377,원텍
263,2025-01-03,277810,0.297,0.3,0.272,0.3,5,5,728153,443020,133708,18677,230,211500,0.064,0.069,-0.033,1438722,0.105,0.08,179,760,103000,153000,228000,233000,0.02193,레인보우로보틱스
262,2025-01-03,160190,0.15,0.3,0.113,0.3,35,5,3277163,1481084,1524058,18579,17970,17420,-0.034,0.068,-0.052,2578369,0.126,0.08,93,760,94700,153000,18790,17490,-0.06919,하이젠알앤엠
261,2025-01-03,065500,0.092,0.101,0.023,0.059,5,24,14144138,7462486,6016623,21687,25217,7020,-0.038,-0.011,-0.11,2910407,0.11,0.08,66,552,93330,133630,7010,6440,-0.08131,오리엔트정공
260,2025-01-03,056360,-0.021,0.009,-0.051,-0.009,13,364,1269337,733276,427496,4996,4159,7950,0.044,0.181,0.024,2248578,0.082,0.08,64,754,93230,151730,9480,8710,-0.08122,코위버
259,2025-01-03,039240,0.043,0.095,0.016,0.068,364,25,2984395,1490642,1360324,6522,6784,4855,0.016,0.11,0.003,1669532,0.107,0.08,76,760,93830,153000,5440,5700,0.04779,경남스틸
258,2025-01-03,018000,-0.021,0.055,-0.03,0.026,337,2,871823,369768,448694,572,1005,778,-0.001,0.118,-0.001,1087386,0.12,0.08,65,760,93300,153000,879,873,-0.00683,유니슨
257,2025-01-03,011080,0.059,0.3,0.036,0.3,301,17,9569693,4416682,4272908,7342,9102,1019,0.001,0.099,-0.062,6673683,0.162,0.08,226,760,105330,153000,1131,1160,0.02564,형지I&C
256,2025-01-03,093240,0.071,0.248,0.027,0.212,586,17,16131315,7728070,7831705,19107,24684,2490,-0.036,0.022,-0.074,1838026,0.104,0.08,145,760,101300,153000,2570,2495,-0.02918,형지엘리트
255,2025-01-03,018500,0.087,0.299,0.084,0.299,32,0,15373832,9314815,5488451,9765,7327,2475,0.059,0.091,-0.042,10086322,0.139,0.08,139,284,101000,112230,2730,2510,-0.08059,동원금속
254,2025-01-03,017860,0.011,0.013,-0.057,-0.053,0,598,934672,625442,256658,6603,5689,28850,0.0,0.125,-0.005,1293080,0.131,0.08,65,760,93300,153000,32800,34550,0.05335,DS단석
253,2025-01-03,015020,0.13,0.243,0.042,0.174,601,24,7503216,3631422,3562923,7378,9557,2230,0.009,0.022,-0.09,1543473,0.123,0.08,152,554,101630,133730,2300,2110,-0.08261,이스타코
252,2025-01-03,002630,0.165,0.205,0.078,0.122,574,24,55645082,28720465,24738091,43430,52788,1736,-0.041,-0.005,-0.097,5905972,0.103,0.08,63,130,93200,100530,1745,1926,0.10372,오리엔트바이오
251,2025-01-03,001380,-0.006,0.072,-0.027,0.047,361,14,7512108,3867666,3380825,8057,8645,3475,0.022,0.119,0.007,7508773,0.111,0.08,131,760,100600,153000,3930,3650,-0.07125,SG글로벌
250,2025-01-02,464080,-0.019,0.053,-0.029,0.043,680,4,5376305,2425900,2405728,22738,25577,13480,-0.019,0.05,-0.033,2273688,0.087,0.08,99,640,105000,153000,14300,14100,-0.01399,에스오에스랩
249,2025-01-02,299900,0.077,0.099,-0.009,-0.009,0,760,5268625,2970868,1717826,6296,7245,1381,0.028,0.174,0.028,2891105,0.088,0.08,63,335,103200,124800,1637,1504,-0.08125,위지윅스튜디오
248,2025-01-02,293580,-0.011,0.087,-0.018,0.08,738,1,2689203,1236663,1344066,2132,3148,1161,0.053,0.148,0.025,2755451,0.113,0.08,191,640,113600,153000,1346,1378,0.02377,나우IB
247,2025-01-02,219550,0.057,0.079,-0.009,0.062,423,18,2255612,1155065,1042457,745,936,482,0.044,0.124,0.025,1034773,0.097,0.08,164,640,112230,153000,547,550,0.00548,디와이디
246,2025-01-02,090710,0.007,0.078,0.007,0.04,12,0,5806251,2920394,2707653,6371,8053,1490,0.063,0.157,0.061,13032183,0.09,0.08,240,640,120030,153000,1741,1746,0.00287,휴림로봇
245,2025-01-02,049180,0.109,0.298,0.086,0.298,15,6,1865658,868161,324723,2050,793,2540,0.01,0.02,-0.091,2335376,0.121,0.08,162,175,112130,112800,2620,2410,-0.08015,셀루메드
244,2025-01-02,015020,-0.003,0.159,-0.049,0.101,300,2,6517028,3374083,3024902,7897,8884,1899,0.13,0.159,0.042,2053269,0.103,0.08,97,640,104900,153000,2220,2230,0.0045,이스타코
243,2025-01-02,002630,0.019,0.3,0.018,0.3,271,0,45465118,24734047,20348684,34583,35543,1547,0.165,0.182,0.078,16787955,0.081,0.08,572,640,144630,153000,1847,1736,-0.0601,오리엔트바이오
242,2025-01-02,001570,-0.007,0.062,-0.013,0.047,588,1,1312457,603421,668267,5403,8815,21200,-0.059,-0.059,-0.13,1059290,0.081,0.08,180,640,113030,153000,20100,19560,-0.02687,금양
241,2024-12-30,466100,0.0,0.041,-0.023,0.027,756,250,10909257,5492689,4788115,32993,34745,8320,-0.026,0.073,-0.035,5886068,0.112,0.08,112,760,95630,153000,9020,8910,-0.0122,클로봇
240,2024-12-30,460470,0.0,0.219,-0.016,0.129,195,37,6716842,3519471,3088103,26156,32309,4560,-0.0,0.088,-0.004,1056213,0.093,0.08,101,760,95100,153000,5010,4780,-0.04591,아이빔테크놀로지
239,2024-12-30,378800,0.012,0.022,-0.089,-0.078,0,113,1472254,983269,424153,3276,3601,3155,-0.003,0.135,-0.011,1283617,0.124,0.08,66,760,93330,153000,3620,3500,-0.03315,샤페론
238,2024-12-30,123010,0.047,0.235,0.045,0.077,328,2,8774660,4492590,3972441,11366,12974,1039,-0.004,0.1,-0.007,1337467,0.108,0.08,77,760,93900,153000,1154,1144,-0.00867,아이윈플러스
237,2024-12-30,043590,-0.043,0.219,-0.05,0.057,360,8,5479388,2910392,2316762,7947,9257,742,0.054,0.154,0.013,1222176,0.107,0.08,116,760,95830,153000,865,860,-0.00578,웰킵스하이텍
236,2024-12-30,089590,0.0,0.011,-0.061,-0.012,117,476,127339,80085,42863,1510,850,8210,-0.14,-0.08,-0.157,3884881,0.091,0.08,63,760,93200,153000,7630,7500,-0.01704,제주항공
235,2024-12-27,232830,0.002,0.036,-0.038,0.015,152,599,1453869,769165,512223,3691,4339,2650,0.128,0.193,0.04,1619040,0.072,0.072,210,376,104530,120830,3190,2960,-0.0721,시큐센
234,2024-12-27,193250,0.0,0.299,-0.019,0.211,715,2,10340484,5237193,3758875,4434,5068,579,-0.048,0.029,-0.097,2008525,0.14,0.08,616,760,140830,153000,602,581,-0.03488,링크드
233,2024-12-27,123010,0.017,0.017,-0.044,-0.034,0,54,830377,485484,329714,1232,1393,965,0.047,0.174,0.045,2221981,0.088,0.08,312,671,113630,143600,1144,1051,-0.08129,아이윈플러스
232,2024-12-27,115500,0.015,0.029,-0.012,-0.002,143,609,700056,414740,244994,3117,2342,9700,0.079,0.176,0.055,2141327,0.086,0.08,183,228,103200,105430,11520,12520,0.08681,케이씨에스
231,2024-12-27,075970,-0.006,0.031,-0.015,0.027,735,44,359404,42025,49962,203,204,2660,0.128,0.154,0.024,3439618,0.107,0.08,67,105,93400,95300,3100,2850,-0.08065,동국알앤에스
230,2024-12-26,303030,0.01,0.299,0.01,0.299,21,0,12126680,7137362,4795161,12543,14945,1133,0.125,0.139,0.001,2694014,0.122,0.08,659,666,143000,143330,1303,1197,-0.08135,지니틱스
229,2024-12-26,217270,0.009,0.009,-0.016,0.006,0,504,109247,68166,38117,958,662,4960,0.062,0.137,0.01,1111296,0.123,0.08,87,760,94400,153000,5700,5670,-0.00526,넵튠
228,2024-12-26,065500,-0.029,0.155,-0.06,0.025,72,2,16778883,9217329,7173317,32231,36182,5670,-0.019,0.109,-0.021,4046111,0.133,0.08,60,119,93030,100000,6350,5840,-0.08031,오리엔트정공
