,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,iBID,tBID,prcBID,maxProfit,minProfit,lastProfit,imax,imin,hname,profit
3953,20250627,099440,0.179,0.233,-0,0.127,6,546,25214569,14009312,10928958,57202,60955,3775,-0.052,-0.049,-0.103,0,34,676950,435994,240956,1714,1319,3,93230,3520,0.076125,-0.0318295,-0.0289886,57,1080,스맥,-0.0289886
3952,20250627,090710,0.009,0.013,-0.072,-0.045,0,345,8597774,5705797,2588981,8439,8814,2530,0.034,0.107,0.024,17,3,9363663,4461373,4902290,10752,13270,16,93900,2715,0.195053,-0.0259411,0.150855,640,32,휴림로봇,0.09
3951,20250627,088280,0.006,0.01,-0.041,-0.025,1,243,84737,62766,21554,278,284,2485,0.026,0.189,0.014,18,8,798191,412041,339280,2565,2742,8,93500,2765,0.0287414,-0.103266,-0.103266,2,691,쏘닉스,-0.048
3950,20250627,004870,-0.004,0.1,-0.02,0.064,642,1,3305056,1455895,1711203,3328,4210,744,-0.015,0.039,-0.043,1,49,264506,146305,118201,278,240,44,95300,736,0.0102283,-0.0414022,-0.0305326,5,454,티웨이홀딩스,-0.0305326
3949,20250626,298380,-0.007,0.006,-0.021,-0.015,103,35,764508,416010,335767,10624,9877,66300,0.02,0.026,-0.041,1,16,448473,304043,137772,3722,3100,19,94030,67000,0.0114328,-0.043791,-0.021403,35,226,에이비엘바이오,-0.021403
3948,20250626,276040,0.02,0.198,0.009,0.165,695,2,1860038,817763,995038,4043,5087,3205,0.041,0.041,-0.022,0,33,128091,87915,40176,337,188,2,93200,3250,0.0318462,-0.0358462,0.00415385,582,130,스코넥,0.00415385
3947,20250626,267320,0,0.001,-0.056,-0.039,0,5,3380022,2084884,1144512,6961,5552,4325,0.138,0.175,0.076,3,9,6536244,3449802,2953539,15572,15159,2,93200,4905,0.0132905,-0.0478716,-0.013213,506,158,나인테크,-0.013213
3946,20250626,250930,0.15,0.298,0.051,0.053,39,754,11345549,6054348,5066584,17549,22647,561,-0.012,-0.012,-0.07,0,35,418685,278151,140534,326,260,65,100330,543,0.00168324,-0.0369908,-0.0333076,61,618,예선테크,-0.0333076
3945,20250626,239890,0.002,0.016,0,0.006,7,21,29922,15165,13833,210,243,5170,0.008,0.201,0.006,22,2,368214,194317,150341,3342,3570,63,100230,5800,-0.0175172,-0.0692414,-0.0416552,0,195,피엔에이치테크,-0.048
3944,20250626,223310,0.079,0.272,0.075,0.158,8,0,7621555,3897967,3277456,24459,25850,5270,-0.034,-0.004,-0.084,5,41,291164,192505,98659,1331,1171,16,93900,5090,0.233756,-0.0137878,0.0746208,266,12,딥마인드,0.09
3943,20250626,205500,-0.043,-0.012,-0.128,-0.062,24,506,6843877,3512452,3056486,11757,12537,4300,-0.064,-0.048,-0.11,1,19,940031,558793,381238,1698,1225,143,104230,3985,0.00552823,-0.0296035,-0.0158018,259,128,넥써쓰,-0.0158018
3942,20250626,187790,-0.009,0.099,-0.059,0.052,704,20,716094,319430,370596,814,1057,1230,-0.02,0.094,-0.02,7,0,216202,107163,109039,356,385,1,93130,1284,0.0486231,-0.002,0.0182492,96,40,나노,0.0182492
